                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                    nan,                    nan,                    nan,                0.44107,                0.04762,                0.02813,                0.01561,                    nan,                    nan,                    nan,              5.716e-05,              5.716e-05,              5.716e-05
                      1,                    nan,                    nan,                    nan,                0.47456,                0.04762,                0.03778,                0.02062,                    nan,                    nan,                    nan,             8.6169e-05,             8.6169e-05,             8.6169e-05
                      2,                    nan,                    nan,                    nan,                0.13406,                0.04762,                0.04001,                0.02211,                    nan,                    nan,                    nan,              6.802e-05,              6.802e-05,              6.802e-05
